0.00	0.80	50.0	65.0		0.806	0.001	0.001
0.00	0.80	65.0	70.0		0.806	0.004	0.004
0.00	0.80	70.0	80.0		0.816	0.004	0.004
0.00	0.80	80.0	100.0		0.829	0.004	0.004
0.00	0.80	100.0	200.0		0.841	0.004	0.004
0.80	1.44	0.0	30.0		0.001	0.000	0.000
0.80	1.44	30.0	35.0		0.008	0.000	0.000
0.80	1.44	35.0	36.0		0.150	0.001	0.002
0.80	1.44	36.0	37.0		0.433	0.002	0.002
0.80	1.44	37.0	38.0		0.617	0.002	0.002
0.80	1.44	38.0	40.0		0.700	0.001	0.001
0.80	1.44	40.0	42.0		0.736	0.001	0.001
0.80	1.44	42.0	45.0		0.765	0.001	0.001
0.80	1.44	45.0	50.0		0.781	0.001	0.001
0.80	1.44	50.0	65.0		0.797	0.001	0.001
0.80	1.44	65.0	70.0		0.796	0.005	0.005
0.80	1.44	70.0	80.0		0.809	0.005	0.005
0.80	1.44	80.0	100.0		0.832	0.005	0.005
0.80	1.44	100.0	200.0		0.844	0.005	0.005
1.44	1.57	0.0	30.0		0.002	0.000	0.000
1.44	1.57	30.0	35.0		0.073	0.002	0.002
1.44	1.57	35.0	36.0		0.240	0.006	0.006
1.44	1.57	36.0	37.0		0.391	0.006	0.006
1.44	1.57	37.0	38.0		0.510	0.006	0.006
1.44	1.57	38.0	40.0		0.596	0.004	0.004
1.44	1.57	40.0	42.0		0.645	0.004	0.004
1.44	1.57	42.0	45.0		0.690	0.003	0.003
1.44	1.57	45.0	50.0		0.716	0.003	0.003
1.44	1.57	50.0	65.0		0.701	0.004	0.004
1.44	1.57	65.0	70.0		0.652	0.017	0.017
1.44	1.57	70.0	80.0		0.659	0.017	0.016
1.44	1.57	80.0	100.0		0.715	0.018	0.017
1.44	1.57	100.0	200.0		0.757	0.019	0.018
1.57	2.10	0.0	30.0		0.002	0.000	0.000
1.57	2.10	30.0	35.0		0.025	0.001	0.001
1.57	2.10	35.0	36.0		0.277	0.003	0.003
1.57	2.10	36.0	37.0		0.567	0.003	0.003
1.57	2.10	37.0	38.0		0.726	0.002	0.002
1.57	2.10	38.0	40.0		0.793	0.001	0.001
1.57	2.10	40.0	42.0		0.830	0.001	0.001
1.57	2.10	42.0	45.0		0.854	0.001	0.001
1.57	2.10	45.0	50.0		0.871	0.001	0.001
1.57	2.10	50.0	65.0		0.882	0.001	0.001
1.57	2.10	65.0	70.0		0.894	0.005	0.005
1.57	2.10	70.0	80.0		0.897	0.005	0.005
1.57	2.10	80.0	100.0		0.903	0.005	0.005
1.57	2.10	100.0	200.0		0.910	0.005	0.005
2.10	2.50	0.0	30.0		0.003	0.000	0.000
2.10	2.50	30.0	35.0		0.015	0.001	0.001
2.10	2.50	35.0	36.0		0.104	0.003	0.003
2.10	2.50	36.0	37.0		0.283	0.004	0.004
2.10	2.50	37.0	38.0		0.479	0.004	0.004
2.10	2.50	38.0	40.0		0.682	0.003	0.003
2.10	2.50	40.0	42.0		0.774	0.002	0.002
2.10	2.50	42.0	45.0		0.809	0.002	0.002
2.10	2.50	45.0	50.0		0.832	0.001	0.001
2.10	2.50	50.0	65.0		0.831	0.002	0.002
2.10	2.50	65.0	70.0		0.800	0.008	0.007
2.10	2.50	70.0	80.0		0.833	0.007	0.007
2.10	2.50	80.0	100.0		0.824	0.009	0.009
2.10	2.50	100.0	200.0		0.857	0.009	0.009
